City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
port hardy,50.6996,-127.4199,51.98,100.0,100.0,4.61,CA,1665266399.0
bogorodskoye,56.55,37.8833,49.73,78.0,99.0,12.37,RU,1665266918.0
kinshasa,-4.3246,15.3215,75.63,80.0,33.0,2.68,CD,1665266745.0
rosetta,31.4044,30.4164,72.72,63.0,3.0,11.01,EG,1665266918.0
omboue,-1.5746,9.2618,76.39,90.0,56.0,5.73,GA,1665266918.0
shelburne,44.0787,-80.2041,47.75,64.0,51.0,16.37,CA,1665266919.0
mokhsogollokh,61.4681,128.9203,27.18,95.0,100.0,7.05,RU,1665266919.0
longjiang,47.3303,123.1836,35.74,54.0,100.0,16.71,CN,1665266919.0
batagay-alyta,67.8006,130.4114,17.56,83.0,100.0,4.9,RU,1665266919.0
coquimbo,-29.9533,-71.3436,58.73,82.0,0.0,11.5,CL,1665266674.0
palmaner,13.2,78.75,68.77,93.0,93.0,2.35,IN,1665266919.0
tuktoyaktuk,69.4541,-133.0374,37.54,69.0,78.0,12.64,CA,1665266448.0
llano de piedra,7.6667,-80.5667,73.9,99.0,100.0,1.07,PA,1665266919.0
el monte,34.0686,-118.0276,95.16,49.0,20.0,10.36,US,1665266919.0
lumina,44.2833,28.5667,55.0,76.0,0.0,8.05,RO,1665266687.0
staryy nadym,65.6118,72.6842,40.77,94.0,100.0,10.4,RU,1665266919.0
havre-saint-pierre,50.2334,-63.5986,44.64,63.0,36.0,22.93,CA,1665266919.0
tiksi,71.6872,128.8694,16.83,88.0,100.0,5.88,RU,1665266305.0
berlevag,70.8578,29.0864,42.8,87.0,40.0,10.36,NO,1665266509.0
laguna,38.421,-121.4238,96.35,26.0,0.0,3.0,US,1665266246.0
shahr-e kord,32.3256,50.8644,54.12,30.0,0.0,1.95,IR,1665266920.0
torbay,47.6666,-52.7314,54.57,96.0,100.0,4.61,CA,1665266470.0
ust-tsilma,65.441,52.1498,48.34,86.0,100.0,11.05,RU,1665266920.0
rio tinto,41.1826,-8.5581,67.35,87.0,20.0,0.0,PT,1665266920.0
rome,34.257,-85.1647,70.47,32.0,0.0,3.0,US,1665266920.0
kununurra,-15.7667,128.7333,84.18,54.0,40.0,9.22,AU,1665266920.0
samsun,41.25,36.3333,66.47,85.0,75.0,4.61,TR,1665266920.0
olinda,-8.0089,-34.8553,78.53,73.0,40.0,6.91,BR,1665266921.0
broome,42.2506,-75.833,52.63,61.0,8.0,5.01,US,1665266478.0
causapscal,48.3542,-67.227,38.48,64.0,43.0,2.44,CA,1665266921.0
chamalieres,45.7756,3.0631,45.32,93.0,0.0,4.61,FR,1665266921.0
bongandanga,1.5,21.05,70.07,92.0,30.0,1.43,CD,1665266926.0
shalinskoye,55.7228,93.7594,34.81,64.0,98.0,7.27,RU,1665266926.0
mandali,33.7499,45.5541,85.37,15.0,0.0,4.18,IQ,1665266926.0
christchurch,-43.5333,172.6333,64.47,56.0,4.0,6.91,NZ,1665266706.0
sao paulo de olivenca,-3.3783,-68.8725,76.84,96.0,85.0,1.83,BR,1665266926.0
gornopravdinsk,60.05,69.9,42.31,96.0,86.0,3.27,RU,1665266926.0
jinka,5.65,36.65,64.09,75.0,93.0,3.06,ET,1665266927.0
sorland,67.667,12.6934,46.26,64.0,98.0,30.06,NO,1665266800.0
mar del plata,-38.0023,-57.5575,50.02,75.0,75.0,17.27,AR,1665266068.0
berbera,10.4396,45.0143,86.63,66.0,14.0,5.68,SO,1665266927.0
mastic beach,40.7668,-72.8521,57.97,63.0,6.0,3.0,US,1665266927.0
sorong,-0.8833,131.25,78.93,84.0,100.0,4.09,ID,1665266927.0
camacha,33.0833,-16.3333,67.42,73.0,40.0,11.5,PT,1665266928.0
nortelandia,-14.4547,-56.8028,82.33,57.0,76.0,4.09,BR,1665266928.0
mahanoro,-19.9,48.8,66.74,78.0,39.0,2.24,MG,1665266928.0
sitka,57.0531,-135.33,60.66,87.0,100.0,7.02,US,1665266466.0
boyolangu,-8.1181,111.8935,75.13,95.0,100.0,3.8,ID,1665266929.0
birjand,32.8663,59.2211,51.84,12.0,0.0,6.15,IR,1665266929.0
giddalur,15.35,78.9167,74.17,94.0,100.0,4.07,IN,1665266929.0
tilichiki,60.4667,166.1,34.27,60.0,62.0,6.96,RU,1665266929.0
maumere,-8.6199,122.2111,81.14,82.0,44.0,4.16,ID,1665266929.0
minab,27.1467,57.0801,82.44,13.0,0.0,5.01,IR,1665266813.0
calbuco,-41.768,-73.1273,52.81,64.0,1.0,10.45,CL,1665266929.0
plettenberg bay,-34.0527,23.3716,59.27,80.0,12.0,4.68,ZA,1665266929.0
dabakala,8.3667,-4.4333,72.27,92.0,100.0,2.73,CI,1665266929.0
lavrentiya,65.5833,-171.0,31.39,53.0,2.0,12.68,RU,1665266930.0
sibolga,1.7427,98.7792,75.67,87.0,100.0,3.65,ID,1665266930.0
galle,6.0367,80.217,77.49,87.0,51.0,8.9,LK,1665266791.0
samarai,-10.6167,150.6667,82.08,79.0,92.0,9.75,PG,1665266930.0
teya,60.3778,92.6267,37.69,91.0,100.0,5.19,RU,1665266930.0
bairiki,1.3292,172.9752,87.8,70.0,20.0,17.27,KI,1665266930.0
zvishavane,-20.3267,30.0665,65.19,66.0,0.0,2.55,ZW,1665266930.0
jian,27.1172,114.9793,61.75,78.0,83.0,5.03,CN,1665266930.0
mayachnyy,52.6839,55.685,42.46,75.0,47.0,3.47,RU,1665266803.0
gravdal,68.1214,13.5031,47.19,68.0,100.0,29.26,NO,1665266931.0
baherden,38.4362,57.4316,61.27,22.0,0.0,5.19,TM,1665266931.0
nizhnyaya tavda,57.6731,66.1725,40.64,96.0,99.0,6.33,RU,1665266931.0
surt,31.2089,16.5887,73.85,59.0,0.0,8.25,LY,1665266931.0
olenegorsk,68.15,33.3,40.91,88.0,93.0,9.4,RU,1665266931.0
faya,18.3851,42.4509,63.55,24.0,6.0,4.47,SA,1665266478.0
saint-georges,12.0564,-61.7485,82.08,83.0,40.0,20.71,GD,1665266931.0
acari,-15.4311,-74.6158,70.88,54.0,10.0,6.38,PE,1665266931.0
moree,-29.4667,149.85,55.42,82.0,100.0,13.8,AU,1665266931.0
nishihara,26.1842,127.7558,76.28,78.0,40.0,8.05,JP,1665266932.0
tommot,58.9564,126.2925,28.58,88.0,99.0,8.19,RU,1665266932.0
ekibastuz,51.6667,75.3667,49.71,44.0,60.0,11.03,KZ,1665266932.0
masoko,-9.3333,33.75,65.68,57.0,2.0,4.07,TZ,1665266932.0
guaraniacu,-25.1008,-52.8781,57.13,88.0,0.0,2.19,BR,1665266932.0
krutikha,53.9599,81.2093,53.46,37.0,52.0,11.01,RU,1665266937.0
cockburn town,21.4612,-71.1419,82.74,75.0,4.0,21.39,TC,1665266711.0
kadur,13.5533,76.0131,70.57,84.0,92.0,2.48,IN,1665266937.0
kipushi,-11.7667,27.2333,62.96,25.0,0.0,3.56,CD,1665266937.0
sarahan,31.5167,77.8,54.01,83.0,56.0,3.38,IN,1665266937.0
tarakan,3.3,117.6333,79.74,83.0,100.0,5.73,ID,1665266938.0
necochea,-38.5473,-58.7368,45.55,68.0,78.0,26.53,AR,1665266938.0
lubango,-14.9172,13.4925,62.49,76.0,37.0,1.99,AO,1665266938.0
uyskoye,54.3775,60.0047,46.0,70.0,100.0,11.99,RU,1665266920.0
hervey bay,-25.2986,152.8535,73.02,86.0,75.0,5.01,AU,1665266938.0
waitati,-45.75,170.5667,57.16,54.0,79.0,2.57,NZ,1665266938.0
touros,-5.1989,-35.4608,77.77,82.0,2.0,14.94,BR,1665266460.0
esperance,-33.8667,121.9,55.65,52.0,0.0,10.8,AU,1665266456.0
andenes,69.3143,16.1194,44.58,76.0,75.0,24.16,NO,1665266938.0
ola,59.5833,151.2833,25.29,77.0,21.0,5.7,RU,1665266938.0
roma,43.2128,-75.4557,48.38,70.0,40.0,5.75,US,1665266828.0
cotonou,6.3654,2.4183,77.63,85.0,37.0,6.55,BJ,1665266939.0
genhe,50.7833,121.5167,20.26,72.0,2.0,1.7,CN,1665266939.0
abu samrah,35.3029,37.1841,66.7,68.0,18.0,7.02,SY,1665266939.0
canchungo,12.0672,-16.0333,77.14,88.0,97.0,1.52,GW,1665266939.0
buin,-33.7333,-70.75,70.21,46.0,4.0,9.91,CL,1665266788.0
talara,-4.5772,-81.2719,68.76,68.0,0.0,17.27,PE,1665266939.0
sola,-13.8833,167.55,80.83,75.0,22.0,12.68,VU,1665266939.0
feijo,-8.1642,-70.3536,85.12,57.0,59.0,3.29,BR,1665266940.0
nkhata bay,-11.6066,34.2907,72.99,49.0,0.0,5.7,MW,1665266940.0
shaunavon,49.6501,-108.4181,69.31,24.0,64.0,7.09,CA,1665266940.0
preobrazheniye,42.9019,133.9064,48.63,66.0,33.0,1.25,RU,1665266940.0
antropovo,58.3988,43.0066,47.61,86.0,100.0,10.07,RU,1665266940.0
puro,12.4841,123.3827,79.57,85.0,3.0,8.39,PH,1665266941.0
trairi,-3.2778,-39.2689,78.98,79.0,28.0,11.99,BR,1665266709.0
trinidad,-14.8333,-64.9,84.02,57.0,3.0,5.28,BO,1665266941.0
kalmanka,52.8992,83.5433,47.25,55.0,8.0,8.7,RU,1665266941.0
viedma,-40.8135,-62.9967,49.77,44.0,74.0,12.8,AR,1665266345.0
lodwar,3.1191,35.5973,85.48,34.0,98.0,15.28,KE,1665266941.0
port hedland,-20.3167,118.5667,66.25,55.0,0.0,4.61,AU,1665266484.0
menongue,-14.6585,17.691,65.53,21.0,1.0,4.16,AO,1665266941.0
salvador,13.8333,-88.9167,81.0,94.0,100.0,4.12,SV,1665266941.0
dali,25.7,100.1833,60.49,95.0,86.0,4.09,CN,1665266942.0
otjiwarongo,-20.4637,16.6477,71.42,12.0,0.0,10.47,NA,1665266942.0
arica,-18.475,-70.3042,65.75,63.0,0.0,8.05,CL,1665266942.0
vanimo,-2.6741,141.3028,79.16,89.0,59.0,6.2,PG,1665266508.0
rio gallegos,-51.6226,-69.2181,55.45,33.0,40.0,33.38,AR,1665266269.0
margate,51.3813,1.3862,49.3,83.0,6.0,7.31,GB,1665266833.0
high level,58.5169,-117.136,67.17,29.0,100.0,6.29,CA,1665266752.0
cloquet,46.7216,-92.4594,61.68,48.0,0.0,9.22,US,1665266942.0
nome,64.5011,-165.4064,37.17,88.0,100.0,9.95,US,1665266492.0
deputatskiy,69.3,139.9,14.45,87.0,100.0,10.94,RU,1665266516.0
eyl,7.9803,49.8164,78.12,79.0,23.0,13.89,SO,1665266947.0
kirakira,-10.4544,161.9205,84.43,68.0,9.0,8.41,SB,1665266480.0
yar-sale,66.8333,70.8333,40.26,93.0,100.0,7.49,RU,1665266844.0
verkhnevilyuysk,63.4453,120.3167,29.71,95.0,100.0,7.87,RU,1665266948.0
rawah,34.4816,41.9093,78.6,38.0,16.0,9.73,IQ,1665266948.0
acarau,-2.8856,-40.12,78.93,82.0,13.0,13.58,BR,1665266948.0
huangchuan,32.1272,115.0394,56.26,92.0,82.0,6.71,CN,1665266948.0
dossor,47.5272,52.9811,56.61,54.0,1.0,7.72,KZ,1665266948.0
mardin,37.3131,40.7436,66.34,48.0,95.0,6.17,TR,1665266789.0
kimbe,-5.5502,150.1429,82.29,66.0,78.0,1.25,PG,1665266948.0
victoria,22.2855,114.1577,79.32,85.0,23.0,8.99,HK,1665266272.0
matiri,-10.75,34.9,61.07,42.0,0.0,4.18,TZ,1665266949.0
aleksandrovka,46.8383,32.7612,56.84,69.0,61.0,7.76,UA,1665266949.0
bilma,18.6853,12.9164,85.41,19.0,11.0,5.7,NE,1665266949.0
acapulco,16.8634,-99.8901,85.82,74.0,40.0,9.22,MX,1665266727.0
urucara,-2.5364,-57.76,91.94,27.0,17.0,4.56,BR,1665266949.0
ramsar,36.9226,50.6426,71.64,79.0,54.0,3.42,IR,1665266949.0
general roca,-39.0333,-67.5833,64.62,16.0,1.0,18.34,AR,1665266949.0
jijiga,9.35,42.8,64.17,74.0,47.0,5.48,ET,1665266949.0
san carlos de bariloche,-41.1456,-71.3082,39.92,76.0,15.0,10.07,AR,1665266505.0
kitakata,37.65,139.8667,53.42,90.0,70.0,2.57,JP,1665266950.0
mareeba,-17.0,145.4333,76.48,77.0,26.0,2.98,AU,1665266950.0
linhares,-19.3911,-40.0722,74.64,89.0,79.0,4.29,BR,1665266659.0
sakakah,29.9697,40.2064,81.5,15.0,47.0,7.18,SA,1665266950.0
vestmanna,62.1564,-7.1664,47.32,93.0,75.0,19.57,FO,1665266950.0
tukums,56.9669,23.1553,49.35,95.0,94.0,6.93,LV,1665266781.0
peleduy,59.6289,112.7406,31.62,88.0,100.0,12.01,RU,1665266951.0
kandrian,-6.2167,149.55,81.46,74.0,100.0,2.55,PG,1665266951.0
abeche,13.8292,20.8324,86.36,25.0,23.0,10.94,TD,1665266951.0
codrington,-38.2667,141.9667,47.82,80.0,66.0,6.33,AU,1665266399.0
meulaboh,4.1363,96.1285,76.12,84.0,100.0,3.6,ID,1665266479.0
samfya,-11.3649,29.5565,73.22,31.0,0.0,13.51,ZM,1665266951.0
pathein,16.7833,94.7333,74.71,91.0,50.0,0.51,MM,1665266951.0
kishi,9.0833,3.85,73.18,92.0,93.0,2.17,NG,1665266951.0
novopokrovka,49.8425,36.5477,50.13,72.0,2.0,5.91,UA,1665266951.0
haines junction,60.7522,-137.5108,50.97,78.0,95.0,9.4,CA,1665266951.0
the valley,18.217,-63.0578,81.1,74.0,94.0,16.15,AI,1665266510.0
garden city,42.3256,-83.331,54.93,49.0,40.0,19.57,US,1665266952.0
grand gaube,-20.0064,57.6608,70.2,74.0,25.0,3.0,MU,1665266450.0
sao jose do egito,-7.4789,-37.2744,81.41,41.0,5.0,16.82,BR,1665266952.0
salekhard,66.53,66.6019,36.91,89.0,49.0,7.81,RU,1665266859.0
maputo,-25.9653,32.5892,69.48,88.0,0.0,4.61,MZ,1665266746.0
tambacounda,13.7539,-13.7586,83.28,65.0,90.0,3.02,SN,1665266952.0
ban tak,17.0432,99.0813,78.21,95.0,87.0,2.3,TH,1665266807.0
matara,5.9485,80.5353,75.76,91.0,53.0,7.29,LK,1665266957.0
mount pleasant,32.7941,-79.8626,75.34,80.0,0.0,11.5,US,1665266719.0
sao sebastiao,-23.76,-45.4097,68.97,92.0,100.0,8.1,BR,1665266659.0
celestun,20.8667,-90.4,81.9,72.0,63.0,15.52,MX,1665266957.0
baracoa,20.3467,-74.4958,82.38,80.0,38.0,10.16,CU,1665266958.0
zhanaozen,43.3,52.8,55.38,42.0,3.0,12.41,KZ,1665266958.0
hovd,48.0056,91.6419,29.8,42.0,4.0,1.57,MN,1665266958.0
sale,34.0389,-6.8166,70.48,100.0,40.0,5.75,MA,1665266758.0
vorontsovka,50.6132,40.3549,50.22,73.0,4.0,6.13,RU,1665266958.0
nantucket,41.2835,-70.0995,54.14,78.0,1.0,7.14,US,1665266303.0
portland,45.5234,-122.6762,88.99,45.0,0.0,4.0,US,1665266126.0
tarauaca,-8.1614,-70.7656,84.51,61.0,65.0,1.81,BR,1665266958.0
amapa,1.0,-52.0,89.53,38.0,31.0,6.58,BR,1665266958.0
kotido,2.9806,34.1331,69.21,67.0,100.0,5.3,UG,1665266958.0
erenhot,43.6475,111.9767,30.25,62.0,5.0,12.77,CN,1665266958.0
broken hill,-31.95,141.4333,50.81,60.0,0.0,11.14,AU,1665266959.0
bose,45.4612,8.0137,61.2,93.0,100.0,5.59,IT,1665266959.0
tuy hoa,13.0833,109.3,75.92,92.0,100.0,4.36,VN,1665266959.0
yarensk,62.1675,49.0916,48.2,81.0,100.0,11.63,RU,1665266959.0
otane,-39.8833,176.6333,58.1,60.0,27.0,2.08,NZ,1665266959.0
punta alta,-38.8759,-62.0736,52.47,41.0,95.0,16.98,AR,1665266959.0
buritis,-15.6178,-46.4233,82.27,46.0,78.0,4.23,BR,1665266959.0
zavyalovo,54.5053,82.4484,51.8,46.0,15.0,17.38,RU,1665266959.0
santa cruz,-17.8,-63.1667,81.86,54.0,0.0,18.41,BO,1665266960.0
chernyshevskiy,63.0128,112.4714,30.79,96.0,100.0,11.41,RU,1665266960.0
arman,59.7,150.1667,25.63,74.0,36.0,4.81,RU,1665266960.0
ajalpan,18.3667,-97.25,75.69,54.0,53.0,10.83,MX,1665266960.0
hambantota,6.1241,81.1185,79.14,89.0,40.0,2.3,LK,1665266465.0
alice town,25.7167,-79.3,81.68,79.0,8.0,14.16,BS,1665266960.0
limoges,45.75,1.3333,54.16,82.0,0.0,12.66,FR,1665266744.0
nara,34.6851,135.8049,57.49,67.0,99.0,4.0,JP,1665266738.0
progreso,21.2833,-89.6667,86.11,71.0,38.0,14.05,MX,1665266961.0
southaven,34.989,-90.0126,70.92,31.0,0.0,9.22,US,1665266961.0
tual,-5.6667,132.75,83.55,76.0,98.0,15.9,ID,1665266961.0
cartagena,10.3997,-75.5144,78.42,94.0,100.0,4.61,CO,1665266961.0
zaranj,30.9667,61.8833,64.49,13.0,0.0,18.63,AF,1665266961.0
axim,4.8699,-2.2405,76.35,86.0,100.0,6.87,GH,1665266474.0
bojnurd,37.4747,57.329,57.4,44.0,0.0,4.68,IR,1665266962.0
kuala kedah,6.1,100.3,77.27,84.0,99.0,2.68,MY,1665266962.0
norfolk,42.1668,-71.2495,58.48,60.0,0.0,5.75,US,1665266962.0
cabedelo,-6.9811,-34.8339,77.67,81.0,3.0,12.44,BR,1665266962.0
udachnyy,66.4167,112.4,30.45,92.0,100.0,5.26,RU,1665266962.0
mattru,7.6244,-11.8332,73.85,97.0,100.0,1.86,SL,1665266967.0
el alto,-4.2714,-81.2147,65.86,78.0,47.0,22.12,PE,1665266967.0
bijawar,24.6333,79.5,74.16,89.0,97.0,7.63,IN,1665266967.0
port macquarie,-31.4333,152.9167,64.89,82.0,99.0,21.79,AU,1665266967.0
kachug,53.9606,105.8817,21.52,93.0,60.0,1.61,RU,1665266968.0
milicz,51.5277,17.2714,53.11,77.0,43.0,10.45,PL,1665266938.0
falmouth,50.1544,-5.0711,50.58,81.0,66.0,3.44,GB,1665266968.0
strezhevoy,60.7333,77.5889,42.69,92.0,100.0,3.56,RU,1665266968.0
manado,1.487,124.8455,75.97,100.0,40.0,3.44,ID,1665266968.0
amuntai,-2.4177,115.2494,73.45,99.0,98.0,0.74,ID,1665266968.0
batemans bay,-35.7167,150.1833,51.1,82.0,99.0,7.56,AU,1665266968.0
astoria,46.1879,-123.8313,73.47,79.0,0.0,8.05,US,1665266673.0
